Transcript,Sentiment
" BUT I CAN SAFELY ASSURE YOU THAT EVEN IF THEY DIDNT IT WOULD STILL BE A HIT
",POSITIVE
"AND I LOVED IT
",POSITIVE
"I DONT KNOW IF FANS OF THE COMIC WOULD BE AS INCLINED TO SAY THE SAME BECAUSE I DONT KNOW HOW MUCH IT DIFFERS FROM THE COMIC OR RADIO PROGRAM THAT PEOPLE LIKE SO MUCH 
",NEGATIVE
"BUT JUST GOING INTO THIS A AS AN OBSERVER AND SOMEONE WHO HAS NO IDEA IT WAS A FANTASTIC FILM IT WAS SO MUCH FUN
",POSITIVE
"AND I WOULD TELL YOU RIGHT NOW IT WAS HILARIOUS
",POSITIVE
" IT WAS REALLY REALLY FUNNY
",POSITIVE
"AND MOST OF YOU KNOW HES A PRETTY FUNNY GUY 
",POSITIVE
" AND HE FUNNIED UP THIS MOVIE BIG TIME TOTALLY
",POSITIVE
" SO THAT DOESNT SURPRISE ME 
",POSITIVE
" AND THE HUMOR IT WAS KIND OF NECESSARY
",POSITIVE
"I FEEL LIKE IF THEY WOUDLNT HAVE INSERTED THE HUMOR INTO THIS MOVIE IT WOULDVE BEEN JUST TOO SERIOUS AND KIND OF BORING IN A SENSE 
",POSITIVE
" BUT THE HUMOR REALLY JUST NAILED IT
",POSITIVE
"AND THE ACTION SEQUENCES IN THIS MOVIE ARE TENSED
",POSITIVE
"I LOVE WHEN PEOPLE DO THIS
",POSITIVE
" WHEN THEY JUST COME UP WITH THESE TOTALLY COMPLETELY NEW STYLIZED WAYS OF DEVELOPING ACTION SEQUENCES
",POSITIVE
"COZ SURE ITS FUN TO SEE A SUPER HERO GO ROUND AND KICK BAD GUY BUTT YOU KNOW PUNCH KICK WHATEVER BAM 
",POSITIVE
"BUT WHEN THEY FIGURE OUT A NEW WAY TO INTERPRET THIS 
",NEGATIVE
"AND ADD SOMETHING LIKE AN EXTRA SPARK IN THERE
",POSITIVE
"THAT MAKES IT MORE VISUALLY TRULY APPEALING
",POSITIVE
"AND JUST DIFFERENT 
",POSITIVE
"IT ENGAGES THE AUDIENCE MORE
",POSITIVE
"AND I JUST REALLY ENJOYED IT
",POSITIVE
" BUT THEY TOOK A NEW SPIN ON IT
",POSITIVE
"AND I JUST LOVED IT
",POSITIVE
" AND I FEEL LIKE EVEN THOUGH THE FIGHTING SEQUENCES WERE A LITTLE BIT LONG IN SOME PLACES T
",NEGATIVE
"SO I MEANT IF I WAS WEARING 3D GLASSES AND WAS SEEING THIS IN 3D I WOULDVE ENJOYED IT A LOT MORE 
",NEGATIVE
" AND I WOULD WANT THE SEQUENCES TO BE EVEN LONGER RATHER THAN SHORTER
",POSITIVE
"NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL
",NEGATIVE
"NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM
",NEGATIVE
"MY REASON IM A COMIC BOOK FAN
",NEGATIVE
"THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY
",NEGATIVE
" THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST 
",POSITIVE
"STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX
",NEGATIVE
" NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT
",POSITIVE
" AND IN MY OPINION HE CARRIED THE MOVIE FINE
",POSITIVE
"YOU KNOW NOTHING GREAT 
",NEGATIVE
"BUT YOU KNOW HE DID IT
",NEGATIVE
" HES A STAR OF THE MOVIE
",POSITIVE
" NOTHING SPECIAL
",NEGATIVE
" HE CARRIED IT
",POSITIVE
"WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE
",POSITIVE
" UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR
",POSITIVE
"AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE
",POSITIVE
" I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING
",NEGATIVE
"NOW OTHER PERFORMANCES ARE BORDERLINE
",NEGATIVE
" OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT
",POSITIVE
" ACTUALLY I LIKED HIM A LOT
",POSITIVE
